year;code;city;type;GDP;GDPPC
2010;1600154;Pedra Branca do Amapari;Centro Local;171959,377;15962,07
2010;1600204;Calçoene;Centro Local;83485,403;9313,41
2010;1600212;Cutias;Centro Local;39502,462;8524,48
2010;1600238;Ferreira Gomes;Centro Local;69507,65;12042,21
2010;1600253;Itaubal;Centro Local;32632,8;7647,71
2010;1600279;Laranjal do Jari;Centro Local;346802,637;8712,54
2010;1600303;Macapá;Capital Regional;5503896,368;13831,91
2010;1600402;Mazagão;Centro Local;150945,691;8863,52
2010;1600501;Oiapoque;Centro Local;193371,294;9466,92
2010;1600535;Porto Grande;Centro Local;211985,42;12599,43
2010;1600550;Pracuúba;Centro Local;37125,77;9813,84
2010;1600600;Santana;Capital Regional;1075428,189;10626,45
2010;1600709;Tartarugalzinho;Centro Local;101675,855;8176,59
2010;1600808;Vitória do Jari;Centro Local;104285,319;8379,7
2010;1700251;Abreulândia;Centro Local;16234,443;6801,19
2010;1700301;Aguiarnópolis;Centro Local;65256,457;12651,5
2010;1700350;Aliança do Tocantins;Centro Local;46763,86;8257,79
2010;1700400;Almas;Centro Local;62942,269;8287,33
2010;1700707;Alvorada;Centro Local;144371,891;17228,15
2010;1701002;Ananás;Centro Local;61771,04;6256,56
2010;1701051;Angico;Centro Local;25223,302;7959,39
2010;1701101;Aparecida do Rio Negro;Centro Local;32140,857;7628,97
2010;1701309;Aragominas;Centro Local;34843,972;5923,83
2010;1701903;Araguacema;Centro Local;37093,882;5872,07
2010;1702000;Araguaçu;Centro de Zona;97397,539;11085,54
2010;1702109;Araguaína;Capital Regional;1980667,651;13158,83
2010;1702158;Araguanã;Centro Local;37212,33;7398,08
2010;1702208;Araguatins;Centro de Zona;193361,08;6172,94
2010;1702307;Arapoema;Centro Local;54102,506;8024,7
2010;1702406;Arraias;Centro Local;117228,788;11014,64
2010;1702554;Augustinópolis;Centro Local;101685,628;6369,28
2010;1702703;Aurora do Tocantins;Centro Local;21788,636;6322,88
2010;1702901;Axixá do Tocantins;Centro Local;52291,237;5637,87
2010;1703008;Babaçulândia;Centro Local;58612,28;5610,98
2010;1703057;Bandeirantes do Tocantins;Centro Local;45296,328;14499,46
2010;1703073;Barra do Ouro;Centro Local;25458,056;6174,64
2010;1703107;Barrolândia;Centro Local;38099,209;7126,68
2010;1703206;Bernardo Sayão;Centro Local;37847,776;8472,75
2010;1703305;Bom Jesus do Tocantins;Centro Local;28849,247;7656,38
2010;1703602;Brasilândia do Tocantins;Centro Local;18970,24;9182,11
2010;1703701;Brejinho de Nazaré;Centro Local;48612,395;9370,16
2010;1703800;Buriti do Tocantins;Centro Local;49310,066;5047,09
2010;1703826;Cachoeirinha;Centro Local;13096,94;6097,27
2010;1703842;Campos Lindos;Centro Local;161232,729;19809,89
2010;1703867;Cariri do Tocantins;Centro Local;63926,721;17028,96
2010;1703883;Carmolândia;Centro Local;20877,884;9057,65
2010;1703891;Carrasco Bonito;Centro Local;19058,06;5164,79
2010;1703909;Caseara;Centro Local;28715,478;6241,14
2010;1704105;Centenário;Centro Local;15278,861;5956,67
2010;1704600;Chapada de Areia;Centro Local;11127,326;8335,08
2010;1705102;Chapada da Natividade;Centro Local;27637,364;8426,03
2010;1705508;Colinas do Tocantins;Centro de Zona;314490,964;10184,62
2010;1705557;Combinado;Centro Local;29498,631;6317,98
2010;1705607;Conceição do Tocantins;Centro Local;25436,844;6082,46
2010;1706001;Couto Magalhães;Centro Local;38466,325;7679,44
2010;1706100;Cristalândia;Centro Local;54392,683;7535,7
2010;1706258;Crixás do Tocantins;Centro Local;18920,415;12082
2010;1706506;Darcinópolis;Centro Local;39958,767;7577,99
2010;1707009;Dianópolis;Centro de Zona;264357,21;13833,45
2010;1707108;Divinópolis do Tocantins;Centro Local;51343,408;8069,06
2010;1707207;Dois Irmãos do Tocantins;Centro Local;46594,272;6506,67
2010;1707306;Dueré;Centro Local;55728,945;12144,03
2010;1707405;Esperantina;Centro Local;44965,577;4745,21
2010;1707553;Fátima;Centro de Zona;33906,04;8910,92
2010;1707652;Figueirópolis;Centro Local;69694,626;13051,43
2010;1707702;Filadélfia;Centro Local;59686,675;7020,31
2010;1708205;Formoso do Araguaia;Centro Local;214558,353;11643,06
2010;1708254;Fortaleza do Tabocão;Centro Local;59252,173;24454,05
2010;1708304;Goianorte;Centro Local;33663,157;6786,93
2010;1709005;Goiatins;Centro Local;77204,181;6399,55
2010;1709302;Guaraí;Centro de Zona;277727,418;11964,82
2010;1709500;Gurupi;Centro Subregional;1234373,556;16079,9
2010;1709807;Ipueiras;Centro Local;15535,533;9478,67
2010;1710508;Itacajá;Centro Local;49459,081;6962,15
2010;1710706;Itaguatins;Centro Local;33168,529;5501,5
2010;1710904;Itapiratins;Centro Local;29689,05;8400,98
2010;1711100;Itaporã do Tocantins;Centro Local;22390,495;9180,19
2010;1711506;Jaú do Tocantins;Centro Local;26877,672;7664,01
2010;1711803;Juarina;Centro Local;14853,236;6657,66
2010;1711902;Lagoa da Confusão;Centro Local;170220,104;16663,74
2010;1711951;Lagoa do Tocantins;Centro Local;17744,236;5033,83
2010;1712009;Lajeado;Centro Local;29084,035;10488,29
2010;1712157;Lavandeira;Centro Local;29817,434;18577,84
2010;1712405;Lizarda;Centro Local;18046,067;4836,79
2010;1712454;Luzinópolis;Centro Local;20333,966;7755,14
2010;1712504;Marianópolis do Tocantins;Centro Local;34235,249;7866,56
2010;1712702;Mateiros;Centro Local;49393,923;22259,54
2010;1712801;Maurilândia do Tocantins;Centro Local;16973,643;5374,81
2010;1713205;Miracema do Tocantins;Centro de Zona;411917,043;19907,07
2010;1713304;Miranorte;Centro Local;109322,964;8658,56
2010;1713601;Monte do Carmo;Centro Local;54331,183;8088,61
2010;1713700;Monte Santo do Tocantins;Centro Local;15467,009;7418,23
2010;1713809;Palmeiras do Tocantins;Centro Local;44503,636;7745,15
2010;1713957;Muricilândia;Centro Local;24676,846;7828,95
2010;1714203;Natividade;Centro de Zona;66308,32;7367,59
2010;1714302;Nazaré;Centro Local;23850,485;5437,87
2010;1714880;Nova Olinda;Centro Local;146027,013;13665,26
2010;1715002;Nova Rosalândia;Centro Local;22874,496;6067,51
2010;1715101;Novo Acordo;Centro Local;21269,607;5653,8
2010;1715150;Novo Alegre;Centro Local;14874,727;6506,88
2010;1715259;Novo Jardim;Centro Local;53714,486;21861,82
2010;1715507;Oliveira de Fátima;Centro Local;11237,551;10857,54
2010;1715705;Palmeirante;Centro Local;32943,809;6649,94
2010;1715754;Palmeirópolis;Centro de Zona;60013,336;8173,98
