code;name;city;state;type;uf_code
SBJF;Francisco de Assis;Juiz de Fora;Minas Gerais;Público;31
SNVB;Valença;Valença;Bahia;Público;29
SNPD;Patos de Minas;Patos de Minas;Minas Gerais;Público;31
SSOL;Lavras;Lavras;Minas Gerais;Público;31
SBDO;Dourados;Dourados;Mato Grosso do Sul;Público;50
SBCJ;Carajás;Parauapebas;Pará;Público;15
SJZA;Pedro Vieira Moreira;Cajazeiras;Paraíba;Público;25
SSGG;Aeroporto Regional de Guarapuava - Tancredo Thomás de Faria;Guarapuava;Paraná;Público;41
SBPO;Aeroporto Juvenal Loureiro Cardoso;Pato Branco;Paraná;Público;41
SSOG;Arapongas;Arapongas;Paraná;Público;41
SBJR;Jacarepaguá - Roberto Marinho;Rio de Janeiro;Rio de Janeiro;Público;33
SBCP;Bartolomeu Lisandro;Campos dos Goytacazes;Rio de Janeiro;Público;33
SBPK;João Simões Lopes Neto;Pelotas;Rio Grande do Sul;Público;43
SSCK;Olavo Cecco Rigon;Concórdia;Santa Catarina;Público;42
SDLP;Municipal José Boso;Lençóis Paulista;São Paulo;Público;35
SBGM;Guajará-Mirim;Guajará-Mirim;Rondônia;Público;11
SWWA;Porangatu;Porangatu;Goiás;Público;52
SWKT;Catalão;Catalão;Goiás;Público;52
SDRK;Rio Claro;Rio Claro;São Paulo;Público;35
SBIH;Itaituba;Itaituba;Pará;Público;15
SBEG;Eduardo Gomes;Manaus;Amazonas;Público;13
SBCT;Aeroporto Internacional Afonso Pena;Curitiba;Paraná;Público;41
SBIL;Bahia - Jorge Amado;Ilhéus;Bahia;Público;29
SBMQ;Alberto Alcolumbre Internacional;Macapá;Amapá;Público;16
